id,coffee_id,roast_date,open_date,empty_date,weight_g,price_ct
1,1,2025-10-30,2025-10-30,,283,1800
2,2,2025-10-30,2025-10-30,,283,1500
3,3,2025-10-30,2025-10-30,,283,1300
4,4,2025-10-30,2025-10-30,,283,1300
5,5,2025-09-04,2025-09-04,,283,1667
6,6,2025-06-16,2025-06-16,,283,1667
7,7,2025-03-21,2025-03-21,,907,2500
8,1,2025-12-13,2025-12-13,,772,5000
9,8,2025-12-13,2025-12-13,,300,1425
10,9,2025-12-13,2025-12-13,,300,1435
11,10,2025-12-13,2025-12-13,,300,1450
12,11,2025-12-04,2025-12-04,,300,1465
13,12,2025-09-18,2025-09-18,,283,1667
14,13,2026-02-09,2026-02-25,,300,1650
15,14,2025-12-27,,,100,1852
16,15,2026-02-09,2026-03-29,,300,1580
17,16,2026-02-09,,,300,1480
18,17,2026-02-14,2026-02-14,,772,4500
